"ticker","year","sen"
POT,2010,0.0
POV,2010,0.0
CVN,2010,0.0
ARM,2010,0.0
CVT,2010,0.0
PPC,2010,0.0
PPE,2010,0.0
LHC,2010,0.0
NLG,2010,0.0
PPI,2010,0.0
TXM,2010,0.0
PPH,2010,0.0
LHG,2010,0.0
PPP,2010,0.0
PPS,2010,0.0
PPY,2010,0.0
ASM,2010,0.0
YBC,2010,0.0
TYA,2010,0.0
ASP,2010,0.0
CX8,2010,0.0
HAD,2010,0.0
LIG,2010,0.0
ATA,2010,0.0
HAG,2010,0.0
HAI,2010,0.0
S74,2010,0.0
HAN,2010,0.0
HAM,2010,0.0
HAP,2010,0.0
HAT,2010,0.0
LIX,2010,0.0
HAS,2010,0.0
HAX,2010,0.0
PRC,2010,0.0
NNC,2010,0.0
HBD,2010,0.0
CYC,2010,0.0
NNT,2010,0.0
HC3,2010,0.0
PSB,2010,0.0
PSD,2010,0.0
PSC,2010,0.0
PSE,2010,0.0
PSG,2010,0.0
HCB,2010,0.0
PSL,2010,0.0
HCC,2010,0.0
PSP,2010,0.0
HCI,2010,0.0
AVF,2010,0.0
S96,2010,0.0
S99,2010,0.0
HCT,2010,0.0
LKW,2010,0.0
HD6,2010,0.0
B82,2010,0.0
PTC,2010,0.0
PTB,2010,0.0
PTE,2010,0.0
PTD,2010,0.0
PTG,2010,0.0
HDA,2010,0.0
PTH,2010,0.0
HDC,2010,0.0
PTL,2010,0.0
HDG,2010,0.0
PTO,2010,0.0
PTP,2010,0.0
PTS,2010,0.0
HDM,2010,0.0
HDO,2010,0.0
LM3,2010,0.0
PTV,2010,0.0
HDP,2010,0.0
LM8,2010,0.0
LM7,2010,0.0
HEC,2010,0.0
LMI,2010,0.0
HEJ,2010,0.0
PV2,2010,0.0
PVA,2010,0.0
PVC,2010,0.0
PVB,2010,0.0
PVE,2010,0.0
PVD,2010,0.0
PVG,2010,0.0
PVH,2010,0.0
FBA,2010,0.0
HFC,2010,0.0
FBC,2010,0.0
PVM,2010,0.0
WCS,2010,0.0
PVL,2010,0.0
PVO,2010,0.0
