Company_Code,ticker,company_name,sector
KTL,KTL,Công ty Cổ phần kim khí Thăng Long,Thép và sản phẩm thép
CDP,CDP,Công ty cổ phần Dược phẩm Trung ương Codupha,Dược phẩm
VJC,VJC,Công ty cổ phần Hàng không VIETJET,Hàng không
TFC,TFC,Công ty cổ phần Trang,Thực phẩm
ACM,ACM,Công ty Cổ phần Tập đoàn khoáng sản Á Cường,Khai khoáng
CHS,CHS,Công ty Cổ phần Chiếu sáng công cộng Thành phố Hồ Chí Minh,Tiện ích khác
ADS,ADS,Công ty Cổ phần Damsan,Hàng May mặc
EMG,EMG,Công ty Cổ Phần Thiết Bị Phụ Tùng Cơ điện,Thiết bị điện
VPA,VPA,Công ty Cổ phần Vận tải Hóa dầu VP,Vận tải Thủy
TLP,TLP,Tổng Công ty Thương mại Xuất nhập khẩu Thanh Lễ - Công ty Cổ phần,Phân phối xăng dầu & khí đốt
GSM,GSM,Công ty Cổ phần Thủy điện Hương Sơn,Sản xuất & Phân phối Điện
NAF,NAF,Công ty Cổ phần Nafoods Group,Đồ uống & giải khát
GTS,GTS,Công ty cổ phần Công trình Giao thông Sài Gòn,Xây dựng
TNI,TNI,Công ty Cổ phần Tập đoàn Thành Nam,Thép và sản phẩm thép
VSF,VSF,Tổng Công ty Lương thực Miền Nam - Công ty Cổ phần,Thực phẩm
VSN,VSN,Công ty cổ phần Việt Nam Kỹ Nghệ Súc Sản,Thực phẩm
PGV,PGV,Tổng Công ty Phát điện 3 - Công ty cổ phần,Sản xuất & Phân phối Điện
NDF,NDF,Công ty Cổ phần Chế biến Thực phẩm Nông sản Xuất khẩu Nam Định,Thực phẩm
NDT,NDT,Tổng Công ty cổ phần Dệt May Nam Định,Hàng May mặc
VVN,VVN,Tổng Công ty Cổ phần Xây dựng Công nghiệp Việt Nam,Xây dựng
TTB,TTB,Công ty Cổ phần Tập đoàn Tiến Bộ,Vật liệu xây dựng & Nội thất
LDG,LDG,Công ty Cổ phần Đầu tư LDG,Bất động sản
PLO,PLO,Công ty Cổ phần Kho vận Petec,"Kho bãi, hậu cần và bảo dưỡng"
PMJ,PMJ,Công ty Cổ phần vật tư Bưu điện,Thiết bị viễn thông
TVM,TVM,Công ty cổ phần Tư vấn Đầu tư Mỏ và Công nghiệp - Vinacomin,Tư vấn & Hỗ trợ KD
POS,POS,"Công ty cổ phần Dịch vụ Lắp đặt, Vận hành và Bảo dưỡng Công trình Dầu khí biển PTSC",Thiết bị và Dịch vụ Dầu khí
ATB,ATB,Công ty Cổ phần An Thịnh,Xây dựng
PRT,PRT,Tổng công ty Sản xuất - Xuất nhập khẩu Bình Dương - TNHH MTV,Bất động sản
YEG,YEG,Công ty cổ phần Tập đoàn Yeah1,Giải trí & Truyền thông
HD8,HD8,Công ty cổ phần Đầu tư phát triển nhà và đô thị HUD8,Bất động sản
HDS,HDS,CTCP Giống cây trồng Hải Dương,Nuôi trồng nông & hải sản
NSS,NSS,Công ty cổ phần Nông Súc Sản Đồng Nai,Nuôi trồng nông & hải sản
DAT,DAT,Công ty cổ phần Đầu tư Du lịch và Phát triển Thuỷ sản,Nuôi trồng nông & hải sản
HKB,HKB,Công ty Cổ phần nông nghiệp và thực phẩm Hà Nội - Kinh Bắc,Thực phẩm
DCM,DCM,Công ty Cổ phần Phân Bón Dầu khí Cà Mau,"Sản phẩm hóa dầu, Nông dược & Hóa chất khác"
HKT,HKT,Công ty cổ phần Đầu tư EGO Việt Nam,Đồ uống & giải khát
FHS,FHS,Công ty Cổ phần Phát hành sách T.P Hồ Chí Minh,"Sách, ấn bản & sản phẩm văn hóa"
FIC,FIC,Tổng công ty Vật Liệu Xây Dựng Số 1 - Công ty Cổ phần,Vật liệu xây dựng & Nội thất
HMS,HMS,Công ty cổ phần Xây dựng bảo tàng Hồ Chí Minh,Xây dựng
DFC,DFC,Công ty Cổ phần Xích Líp Đông Anh,Thép và sản phẩm thép
BEL,BEL,CÔNG TY CỔ PHẦN ĐIỆN TỬ BIÊN HÒA,Điện tử tiêu dùng
BII,BII,Công ty Cổ phần Louis Land,Bất động sản
X77,X77,Công ty cổ phần Thành An 77,Vật liệu xây dựng & Nội thất
MBG,MBG,Công ty Cổ phần Tập đoàn MBG,Vật liệu xây dựng & Nội thất
DTI,DTI,Công ty Cổ phần Đầu tư Đức Trung,Khách sạn
